person_id,purchase_date,item_desc,item_no,price_usd,quantity
138,2025-01-04,"Monitor 27""",D222,38.32,4
128,2025-05-04,Wireless Mouse,A123,208.43,2
114,2025-05-13,Wireless Mouse,A123,137.64,3
142,2025-01-16,USB-C Cable,B456,45.39,3
107,2025-03-23,Headphones,G999,153.6,1
120,2025-03-23,Laptop Stand,G999,19.97,3
138,2025-05-10,"Monitor 27""",F111,273.7,1
118,2025-05-10,Mechanical Keyboard,B456,85.05,3
122,2025-02-27,Laptop Stand,C789,202.13,2
110,2025-03-29,Headphones,G999,100.4,3
110,2025-01-31,Desk Lamp,D222,160.82,1
123,2025-03-23,Mechanical Keyboard,B456,168.55,1
135,2025-03-14,Desk Lamp,A123,63.61,2
139,2025-04-25,USB-C Cable,D222,291.18,3
123,2025-04-07,USB-C Cable,D222,234.79,3
102,2025-01-01,Wireless Mouse,A123,282.45,2
121,2025-03-20,Desk Lamp,B456,269.5,3
101,2025-02-06,Headphones,A123,183.39,3
123,2025-05-01,"Monitor 27""",F111,277.34,1
143,2025-01-07,Mechanical Keyboard,D222,35.66,3
129,2025-04-25,Laptop Stand,E333,66.84,3
137,2025-01-16,Headphones,E333,23.12,2
101,2025-01-22,Headphones,C789,104.35,2
120,2025-03-20,USB-C Cable,G999,122.72,4
132,2025-01-25,Desk Lamp,A123,88.69,1
111,2025-04-19,Wireless Mouse,A123,250.33,3
121,2025-04-07,Wireless Mouse,C789,113.46,3
143,2025-05-04,Mechanical Keyboard,C789,91.47,4
124,2025-05-10,USB-C Cable,C789,167.38,3
148,2025-03-11,Headphones,D222,50.87,1
126,2025-02-12,"Monitor 27""",F111,242.64,4
141,2025-04-04,USB-C Cable,A123,31.62,1
127,2025-04-04,Mechanical Keyboard,D222,296.2,4
115,2025-03-11,Mechanical Keyboard,C789,233.95,4
114,2025-05-01,USB-C Cable,A123,67.63,2
146,2025-05-25,Mechanical Keyboard,D222,11.6,1
143,2025-05-25,USB-C Cable,F111,246.48,3
102,2025-02-03,Laptop Stand,D222,214.99,3
136,2025-04-25,USB-C Cable,F111,221.41,1
106,2025-01-04,Desk Lamp,C789,233.67,3
120,2025-01-07,USB-C Cable,F111,31.47,3
108,2025-05-25,Mechanical Keyboard,A123,113.96,1
138,2025-04-19,Desk Lamp,C789,43.6,4
117,2025-05-25,Mechanical Keyboard,A123,260.3,1
103,2025-02-18,Wireless Mouse,E333,190.76,4
124,2025-05-25,Wireless Mouse,B456,105.96,3
113,2025-01-04,Desk Lamp,F111,28.43,3
149,2025-01-04,Laptop Stand,B456,100.18,3
108,2025-03-23,Wireless Mouse,B456,104.3,2
125,2025-03-08,USB-C Cable,F111,221.59,4
