cust_id,day,month,year,item_name,sku,cost,currency,purchase_channel
P-033,12,3,2024,Laptop Stand,A123,38.32,USD,Online
P-003,19,12,2025,"Display 27""",F111,208.43,USD,Online
P-018,23,10,2025,USB Type-C Cable,A123,137.64,USD,Online
P-025,15,7,2025,Laptop Stand,A123,45.39,USD,Online
P-042,28,10,2024,USB Type-C Cable,F111,153.6,USD,Store
P-031,2,5,2025,Desk Lamp,D222,19.97,USD,Online
P-054,2,10,2025,Wireless Mouse,A123,273.7,USD,Store
P-058,23,5,2024,Laptop Stand,F111,85.05,USD,Online
P-003,22,7,2025,"Display 27""",E333,202.13,USD,Store
P-040,19,9,2025,Laptop Stand,C789,100.4,USD,Store
P-046,25,12,2024,Laptop Stand,C789,160.82,USD,Store
P-024,26,5,2025,Laptop Stand,A123,168.55,USD,Online
P-050,22,1,2024,Headphones,D222,63.61,USD,Online
P-032,26,10,2024,Laptop Stand,D222,291.18,USD,Store
P-047,26,10,2025,USB Type-C Cable,E333,234.79,USD,Online
P-022,22,1,2025,Wireless Mouse,A123,282.45,USD,Store
P-023,17,2,2025,Desk Lamp,C789,269.5,USD,Online
P-002,20,6,2025,Mech Keyboard,D222,183.39,USD,Store
P-027,10,9,2024,Laptop Stand,A123,277.34,USD,Store
P-042,6,8,2025,"Display 27""",G999,35.66,USD,Online
P-002,15,5,2024,Laptop Stand,D222,66.84,USD,Store
P-026,22,1,2025,"Display 27""",F111,23.12,USD,Online
P-017,11,7,2025,USB Type-C Cable,G999,104.35,USD,Store
P-040,28,5,2025,"Display 27""",D222,122.72,USD,Store
P-033,5,6,2024,Mech Keyboard,C789,88.69,USD,Online
P-009,1,7,2025,Wireless Mouse,B456,250.33,USD,Online
P-043,8,3,2025,"Display 27""",G999,113.46,USD,Online
P-054,21,12,2025,"Display 27""",E333,91.47,USD,Store
P-048,28,10,2025,Wireless Mouse,E333,167.38,USD,Online
P-039,12,3,2024,Mech Keyboard,C789,50.87,USD,Store
P-029,12,5,2025,Laptop Stand,D222,242.64,USD,Store
P-042,5,6,2024,"Display 27""",A123,31.62,USD,Online
P-055,7,9,2024,Wireless Mouse,D222,296.2,USD,Online
P-026,4,12,2024,USB Type-C Cable,C789,233.95,USD,Store
P-035,6,5,2024,Wireless Mouse,E333,67.63,USD,Store
P-050,13,1,2024,USB Type-C Cable,D222,11.6,USD,Online
P-025,20,4,2024,Mech Keyboard,E333,246.48,USD,Online
P-024,15,5,2025,Laptop Stand,G999,214.99,USD,Online
P-013,3,12,2024,Wireless Mouse,A123,221.41,USD,Online
P-058,23,10,2024,Desk Lamp,G999,233.67,USD,Online
P-007,8,10,2024,Desk Lamp,E333,31.47,USD,Store
P-057,20,5,2025,Headphones,E333,113.96,USD,Store
P-036,16,7,2025,"Display 27""",B456,43.6,USD,Store
P-045,13,4,2024,Mech Keyboard,B456,260.3,USD,Store
P-020,18,1,2025,Wireless Mouse,G999,190.76,USD,Online
P-001,28,5,2024,Desk Lamp,F111,105.96,USD,Online
P-008,10,7,2024,"Display 27""",G999,28.43,USD,Online
P-046,19,10,2025,Desk Lamp,B456,100.18,USD,Store
P-016,17,10,2024,Wireless Mouse,E333,104.3,USD,Store
P-014,24,6,2025,USB Type-C Cable,C789,221.59,USD,Online
